image_name,bicubic_psnr,bicubic_ssim,recon_psnr,recon_ssim
100007.jpg,28.032042125394348,0.8291388154029846,31.376222796741903,0.8690139651298523
100039.jpg,21.59654929422711,0.7104714512825012,23.004520146753876,0.7715723514556885
100099.jpg,29.267538295127736,0.8192768096923828,31.572632392053734,0.8558003902435303
10081.jpg,25.331514974391318,0.8058781623840332,28.14818474313078,0.8638443350791931
101027.jpg,21.520310303057116,0.715728223323822,23.229650876727238,0.7700220942497253
101084.jpg,21.447565647330645,0.5174795985221863,22.345727927762994,0.5814908146858215
102062.jpg,20.086499082637186,0.630833089351654,21.35562706292282,0.704260528087616
103006.jpg,23.35114025073398,0.7675160765647888,24.973752897018336,0.81992107629776
103029.jpg,30.065699950246163,0.8853046298027039,33.329760970206486,0.9301905632019043
103078.jpg,24.57318682022194,0.7368003726005554,26.368092568995827,0.788868248462677
104010.jpg,26.80840666424105,0.7707437872886658,28.831051714861857,0.8099484443664551
104055.jpg,28.558169451894095,0.7998924255371094,30.704346899763838,0.8368983268737793
105027.jpg,26.935970855896247,0.791117250919342,29.01857076560819,0.8342376351356506
106005.jpg,27.282746374469454,0.8766724467277527,30.617585780691638,0.9207143783569336
106047.jpg,28.51838495191464,0.8649904131889343,31.251787567635656,0.9121215343475342
107014.jpg,26.675929201326923,0.7528963685035706,28.280185759280627,0.7895004749298096
107045.jpg,23.2582316394622,0.6885001063346863,24.74136360110787,0.7460610866546631
107072.jpg,24.704847433373324,0.6780602931976318,26.197872481208893,0.7203800082206726
108004.jpg,21.666946134648114,0.605430543422699,22.95623939247042,0.6752305030822754
108036.jpg,20.961731849406327,0.7171786427497864,22.617805451798194,0.7930619120597839
108069.jpg,23.69474124093191,0.8220178484916687,26.311102410803908,0.8864591717720032
109055.jpg,24.383836652397374,0.8253677487373352,26.37765211576624,0.8788928389549255
112056.jpg,29.981906590358633,0.8383466601371765,32.607868478667356,0.8770887851715088
112090.jpg,24.803268336165164,0.7344911694526672,26.689224392785217,0.7767149806022644
117025.jpg,23.59511800557378,0.6714408993721008,24.969403579500053,0.7201853394508362
118015.jpg,21.188362579418122,0.7182064652442932,22.409411591974994,0.7802944779396057
118031.jpg,22.422090885679,0.6951711773872375,23.880349527179774,0.7585439085960388
118072.jpg,26.044087457676653,0.7562528252601624,27.66227957716508,0.7966961860656738
120003.jpg,25.655094420923113,0.8559489250183105,28.96000240201767,0.9046425223350525
120093.jpg,20.359651213114294,0.7056958079338074,21.374045331553315,0.7707116007804871
123057.jpg,26.678194670669015,0.7819331288337708,28.361485616134665,0.8239620327949524
128035.jpg,25.837195088781964,0.8143758773803711,28.203383124332774,0.8539095520973206
130014.jpg,24.77938452980894,0.8159332871437073,26.651642132422392,0.8760669827461243
130066.jpg,19.44903960432949,0.66897052526474,20.734769534438804,0.7540656924247742
134049.jpg,22.474482139391995,0.7203900814056396,24.13946228688197,0.7840390801429749
134067.jpg,19.678708809260556,0.6976490020751953,21.59373816672286,0.7751545906066895
140006.jpg,19.743140903005624,0.6456666588783264,21.143354771146313,0.7213215231895447
140088.jpg,22.93190519058161,0.7513608336448669,24.521355943995804,0.8049188256263733
14085.jpg,27.40793968661629,0.7996312975883484,29.571322889470913,0.8430169224739075
14092.jpg,26.974184736975836,0.7218636870384216,28.484239533964256,0.7726736664772034
141012.jpg,23.399789442261934,0.7218825817108154,24.80916688278071,0.7890923619270325
141048.jpg,26.58307702878133,0.719871997833252,27.932534552300957,0.7633903622627258
145059.jpg,22.97210474151519,0.7664706110954285,25.018757501384638,0.8337693214416504
145079.jpg,21.631786884786873,0.5990872383117676,22.58940165267166,0.6579609513282776
146074.jpg,21.870955425626285,0.755665123462677,23.79214220234106,0.8213950991630554
147077.jpg,23.880541961773652,0.7696104049682617,25.976464393206328,0.8209449648857117
147080.jpg,21.458726366237244,0.7184978127479553,23.761447128828074,0.7805551886558533
15011.jpg,25.087416215926606,0.7853150367736816,27.269603729963457,0.8353345394134521
15062.jpg,23.453824417368114,0.699551522731781,25.254319884834985,0.7527727484703064
156054.jpg,24.888053395251543,0.7448366284370422,26.339241271069906,0.801161527633667
157032.jpg,26.28221234629539,0.8248113989830017,28.61006057900072,0.8782636523246765
157087.jpg,23.306557915379283,0.7720587253570557,25.608037668129164,0.8280598521232605
159002.jpg,25.421423245870493,0.7853813171386719,26.883657644172043,0.8333773612976074
159022.jpg,24.21076682101761,0.7035281658172607,25.12995479567352,0.7557186484336853
160006.jpg,25.52740225648039,0.8052952289581299,27.450912710353986,0.8553206324577332
16004.jpg,25.786207623141163,0.8320563435554504,28.042641301564593,0.8814770579338074
160067.jpg,23.96737620685251,0.8099862933158875,26.024453780605825,0.8770273327827454
16068.jpg,22.23881235036111,0.7506313323974609,24.03147154786984,0.8073880076408386
161045.jpg,28.297080200967073,0.7316122055053711,29.721099337079462,0.7781053185462952
163004.jpg,26.940449521793695,0.8346678614616394,28.98381179533859,0.8858491778373718
163096.jpg,27.996401856792406,0.8328096866607666,30.216591124619523,0.8787619471549988
164046.jpg,28.51251074452206,0.784792959690094,30.428938708331486,0.8260100483894348
168084.jpg,27.91701703074814,0.8294233679771423,29.841536574490664,0.87558913230896
17067.jpg,22.94162787724051,0.6388332843780518,24.230163083220756,0.698614776134491
175083.jpg,25.21523552891019,0.7640673518180847,27.27683857039274,0.8113409876823425
176051.jpg,26.334643919157443,0.8506404757499695,28.66190612783707,0.9110696911811829
179084.jpg,26.236505999668726,0.8161001205444336,28.928309778163197,0.8626482486724854
181021.jpg,22.760496146761415,0.799045979976654,25.687496392032028,0.8420705795288086
183066.jpg,25.46222189850903,0.7574765086174011,27.634939608729624,0.7972332835197449
185092.jpg,27.424960262520305,0.7765608429908752,28.834864018214507,0.8254967331886292
187058.jpg,22.014317910355615,0.7773921489715576,23.71942648337179,0.8409751057624817
187099.jpg,20.835439448811055,0.6496697068214417,21.975321450927872,0.7147350311279297
188025.jpg,22.861179142257487,0.7204409241676331,24.47638760643556,0.7741153836250305
189006.jpg,28.997818860905802,0.8860343098640442,31.97985586307391,0.9317546486854553
189013.jpg,27.213664314198333,0.8423815369606018,30.062267119208883,0.8903331160545349
189029.jpg,25.567254578307725,0.8131011128425598,27.505218611639535,0.8596075177192688
189096.jpg,24.373471019135135,0.8086658120155334,26.451910239810125,0.8590348362922668
196027.jpg,28.82759849184094,0.8620807528495789,32.437047334948275,0.9183909296989441
196040.jpg,22.81358047553286,0.7088890075683594,24.148524770470807,0.7741701602935791
196062.jpg,27.952932774604903,0.7873234748840332,29.75608828854037,0.8327092528343201
196088.jpg,19.85027337977715,0.631931483745575,20.95312265037897,0.7109870314598083
198087.jpg,24.60196043636131,0.8071228861808777,26.732216618101795,0.8644971251487732
20069.jpg,25.881881416507873,0.8640443682670593,29.10153139045792,0.9167134761810303
201080.jpg,24.718887931195294,0.7861039042472839,26.535615041567695,0.8422753214836121
2018.jpg,21.193617302067768,0.6842394471168518,22.889380963513382,0.7509892582893372
202000.jpg,24.01318531483134,0.7706214785575867,25.15192360463162,0.8213028907775879
206062.jpg,24.619131143957972,0.7766448855400085,26.96825555224267,0.8282329440116882
206097.jpg,25.709512488013097,0.7195959687232971,27.452527513563393,0.7551181316375732
207038.jpg,23.09346433366525,0.6693527102470398,24.256944983453963,0.7282859683036804
207049.jpg,22.5110170077902,0.6152439713478088,23.57673355196775,0.6767457127571106
208078.jpg,21.690126909705143,0.8579962849617004,24.438113810533984,0.9205588698387146
209021.jpg,29.26198402903601,0.8064019680023193,31.7746002383106,0.8501761555671692
217013.jpg,22.573867074594887,0.8135711550712585,24.045255687871183,0.8743767142295837
217090.jpg,21.97299677516974,0.6734961867332458,23.659358164342905,0.740877628326416
220003.jpg,23.303879812368073,0.6737639904022217,24.727625399751915,0.7218967080116272
223004.jpg,23.603772160773843,0.7673094868659973,25.5557191573917,0.8314198851585388
223060.jpg,19.857052535271883,0.6701445579528809,21.598130772442282,0.7499804496765137
225022.jpg,23.79706262046517,0.7435392737388611,25.168247976042686,0.7929505705833435
226022.jpg,25.094419094191494,0.8203749656677246,27.11210032945251,0.8700892925262451
226033.jpg,25.300639587483168,0.8652245402336121,28.323785822616916,0.925173282623291
226043.jpg,24.81915019110122,0.8550610542297363,27.79095211005673,0.9111868739128113
226060.jpg,27.139136761114436,0.8792173862457275,29.60235143172328,0.9277724623680115
228076.jpg,23.322276568976335,0.7736315727233887,25.090513126721632,0.8336541056632996
230063.jpg,24.679062237528594,0.7676793932914734,26.514591845475092,0.813808262348175
230098.jpg,25.205629700130782,0.822580099105835,27.860381771132353,0.8703584671020508
23050.jpg,24.62228180711208,0.7823413014411926,26.544412508817242,0.8342116475105286
232076.jpg,22.129215947738135,0.7567470073699951,23.178940668945476,0.8058147430419922
235098.jpg,21.63697735867445,0.8024433255195618,23.87944860251338,0.8691394925117493
238025.jpg,24.716714182338873,0.6764609217643738,26.42566776762728,0.7138473391532898
243095.jpg,25.009675068063032,0.8234407901763916,27.69812081899407,0.8761425018310547
246009.jpg,23.520402136193255,0.7519387602806091,25.104644280386402,0.8163182735443115
247003.jpg,26.925648092606362,0.8301226496696472,29.02103459143166,0.8752432465553284
247012.jpg,26.01846286729899,0.8098983764648438,28.17177157138333,0.8505457043647766
249021.jpg,26.091678197342517,0.7764256000518799,28.012053106148223,0.8207189440727234
250047.jpg,21.642597098555928,0.7440416812896729,23.801892365385964,0.8157325387001038
250087.jpg,27.029271030359297,0.8735625147819519,30.97567665383955,0.9202068448066711
253016.jpg,24.046272272571017,0.7724091410636902,26.2480793932253,0.8198387026786804
253092.jpg,26.62413491781691,0.8454545140266418,29.456482082264447,0.8885076642036438
257098.jpg,24.705345574858377,0.7198308110237122,26.78422348973294,0.7638476490974426
258089.jpg,22.856622146936793,0.8088126182556152,25.138415279884608,0.8707540035247803
259060.jpg,23.008744186966194,0.6264276504516602,24.271306249784544,0.6793034672737122
267036.jpg,25.053564923701572,0.7559104561805725,26.66476253830389,0.8025833964347839
268048.jpg,24.110100955376662,0.7820723652839661,26.06789316604168,0.837878942489624
268074.jpg,23.617886208162737,0.7103919982910156,25.084798380073,0.783713161945343
277053.jpg,23.179937313422446,0.7238695025444031,24.99400011529542,0.7876021265983582
279005.jpg,26.109231426838114,0.7649502158164978,27.546701809843327,0.8205949664115906
28083.jpg,28.705412497463662,0.7587153315544128,30.87971821451678,0.7835971713066101
281017.jpg,25.687626883649667,0.824427604675293,28.262601901319016,0.8758317828178406
285022.jpg,27.86169504784242,0.811174213886261,29.341763801569204,0.8625951409339905
288024.jpg,22.30049777797766,0.7439042925834656,24.07901801307927,0.8071549534797668
289011.jpg,29.192835883703427,0.8696398735046387,32.070459263492836,0.913682758808136
290035.jpg,26.639860519370522,0.7884645462036133,28.889544442490056,0.8335195183753967
29030.jpg,25.51423478059324,0.7684794068336487,26.96512774463831,0.8039543032646179
296028.jpg,24.769242218236943,0.7580819129943848,27.082998506606806,0.8027207255363464
296058.jpg,17.209657487607426,0.5482667088508606,18.170897255107718,0.6302299499511719
302022.jpg,25.913665007829927,0.815492570400238,27.97147372581645,0.871480405330658
306051.jpg,25.16560557424734,0.7933087348937988,27.191355126298088,0.8382264971733093
306052.jpg,25.919874808989427,0.7441756129264832,27.476869914161213,0.7854723930358887
3063.jpg,27.936282705188106,0.8727678656578064,31.48925555654939,0.9195918440818787
309040.jpg,24.225679574022788,0.7989905476570129,26.679633621237436,0.8497268557548523
317043.jpg,25.04280548590731,0.7665356993675232,26.89279974979561,0.822213351726532
326025.jpg,26.256107495821283,0.8479143977165222,28.422492585542862,0.8973379731178284
326085.jpg,25.07538143779007,0.7972965836524963,27.144997027700587,0.861828088760376
33044.jpg,23.21060861723199,0.6519711017608643,24.450696090938262,0.7131898999214172
334025.jpg,26.138101708974023,0.795451819896698,28.131928819041356,0.8405907154083252
335088.jpg,24.305304228395194,0.8259170055389404,26.721485945682435,0.8831634521484375
335094.jpg,20.215257208696208,0.7187944054603577,22.335753814329323,0.7927858233451843
344010.jpg,23.611719779146366,0.724332869052887,24.994340930921805,0.7615756988525391
346016.jpg,22.16219339722823,0.5121461153030396,23.02832155572608,0.5685089230537415
347031.jpg,25.207445230448858,0.7749121189117432,26.67800049440354,0.828279435634613
35028.jpg,28.421481955629325,0.856314480304718,30.807539142430976,0.9171204566955566
35049.jpg,26.862068891405965,0.856330394744873,29.543331113016592,0.9145765900611877
36046.jpg,26.460175222477474,0.6975739598274231,28.173652364394414,0.7237934470176697
365072.jpg,23.386631871589195,0.7062460780143738,25.167831415674037,0.7541037201881409
368037.jpg,25.129841810058927,0.8439960479736328,27.396757470130503,0.8881750106811523
372019.jpg,25.040453122216213,0.7067430019378662,26.719695477619148,0.7502679824829102
376086.jpg,24.154054982906285,0.7803464531898499,26.416335183591567,0.832207977771759
384022.jpg,23.557019073494942,0.7377421259880066,25.642366271911797,0.7902061343193054
