image_name,bicubic_psnr,bicubic_ssim,recon_psnr,recon_ssim
100007.jpg,28.032042125394348,0.8291388154029846,30.918288564070544,0.8440261483192444
100039.jpg,21.59654929422711,0.7104714512825012,22.901035767782712,0.7433765530586243
100099.jpg,29.267538295127736,0.8192768096923828,30.838211441454856,0.813792884349823
10081.jpg,25.331514974391318,0.8058781623840332,27.988467328299443,0.843726634979248
101027.jpg,21.520310303057116,0.715728223323822,23.152931234207298,0.7345194220542908
101084.jpg,21.447565647330645,0.5174795985221863,22.185686930135375,0.5509249567985535
102062.jpg,20.086499082637186,0.630833089351654,21.2921068394083,0.6837851405143738
103006.jpg,23.35114025073398,0.7675160765647888,24.861058154991497,0.8010125160217285
103029.jpg,30.065699950246163,0.8853046298027039,32.52670788910413,0.892447292804718
103078.jpg,24.57318682022194,0.7368003726005554,26.102190163074418,0.7551765441894531
104010.jpg,26.80840666424105,0.7707437872886658,28.503957234168343,0.7810730934143066
104055.jpg,28.558169451894095,0.7998924255371094,30.18331702963121,0.7980992197990417
105027.jpg,26.935970855896247,0.791117250919342,28.53171938430218,0.7895686030387878
106005.jpg,27.282746374469454,0.8766724467277527,30.302774891434332,0.9049376845359802
106047.jpg,28.51838495191464,0.8649904131889343,30.789934468278517,0.8891600966453552
107014.jpg,26.675929201326923,0.7528963685035706,27.933370247853496,0.7481696605682373
107045.jpg,23.2582316394622,0.6885001063346863,24.582883785053454,0.7204892039299011
107072.jpg,24.704847433373324,0.6780602931976318,25.981538328660783,0.6869020462036133
108004.jpg,21.666946134648114,0.605430543422699,22.870655093226166,0.6534952521324158
108036.jpg,20.961731849406327,0.7171786427497864,22.57293091520846,0.7738721966743469
108069.jpg,23.69474124093191,0.8220178484916687,26.17968431268519,0.867358386516571
109055.jpg,24.383836652397374,0.8253677487373352,26.252298369599337,0.8571154475212097
112056.jpg,29.981906590358633,0.8383466601371765,31.878123749797695,0.8336369395256042
112090.jpg,24.803268336165164,0.7344911694526672,26.417998202950194,0.7396581172943115
117025.jpg,23.59511800557378,0.6714408993721008,24.788173537803413,0.6866590976715088
118015.jpg,21.188362579418122,0.7182064652442932,22.386057396396968,0.769152820110321
118031.jpg,22.422090885679,0.6951711773872375,23.828342431038717,0.7449026107788086
118072.jpg,26.044087457676653,0.7562528252601624,27.446521957690262,0.7711367607116699
120003.jpg,25.655094420923113,0.8559489250183105,28.64646687986841,0.8798553943634033
120093.jpg,20.359651213114294,0.7056958079338074,21.349306243564023,0.761054277420044
123057.jpg,26.678194670669015,0.7819331288337708,28.00536493695125,0.789147138595581
128035.jpg,25.837195088781964,0.8143758773803711,28.041506836064343,0.8339263796806335
130014.jpg,24.77938452980894,0.8159332871437073,26.437848481006682,0.8418960571289062
